,coef,Estimate,Std. Error,z value,Pr(>|z|),sig,model
0,(Intercept),-0.0059964,0.0339999,-0.176,0.860008,,model1_aud
1,target_z,1.3392454,0.0142323,94.099,<2e-16,***,model1_aud
2,diff_z,-0.0751518,0.0123753,-6.073,1.26e-09,***,model1_aud
3,stim_1_z,-0.0276954,0.0163362,-1.695,0.090011,.,model1_aud
4,prev_diff_z,-0.0034894,0.0073326,-0.476,0.634166,,model1_aud
5,resp_1_z,0.0180112,0.0203098,0.887,0.375173,,model1_aud
6,PPS_z,0.0114885,0.0322583,0.356,0.721734,,model1_aud
7,block_type_z,-0.0002007,0.0123133,-0.016,0.986994,,model1_aud
8,cue_z,0.1954734,0.0135653,14.410,<2e-16,***,model1_aud
9,prev_diff_z:resp_1_z,0.0481320,0.0074939,6.423,1.34e-10,***,model1_aud
10,resp_1_z:PPS_z,-0.0642011,0.0123016,-5.219,1.80e-07,***,model1_aud
11,resp_1_z:block_type_z,-0.0203541,0.0124858,-1.630,0.103064,,model1_aud
12,PPS_z:block_type_z,-0.0022206,0.0122413,-0.181,0.856052,,model1_aud
13,PPS_z:cue_z,-0.0450982,0.0123089,-3.664,0.000248,***,model1_aud
14,block_type_z:cue_z,0.0329036,0.0124770,2.637,0.008361,**,model1_aud
15,resp_1_z:PPS_z:block_type_z,0.0057902,0.0122664,0.472,0.636900,,model1_aud
16,PPS_z:block_type_z:cue_z,0.0104605,0.0122660,0.853,0.393768,,model1_aud
17,,,,,,,model1_aud
